sku,p_sku,p_name
23490,Config212,Tige Z1
23491,Config212,Tige Z1
23492,Config212,Tige Z1
23496,Config211,Tige RZ2
23497,Config211,Tige RZ2
23498,Config211,Tige RZ2
23499,Config213,Tige Z3
23500,Config213,Tige Z3
23501,Config213,Tige Z3
23502,Config215,VIP Vantage
23503,Config215,VIP Vantage
23504,Config215,VIP Vantage
23505,Config216,Wellcraft Excalibur 26
23506,Config216,Wellcraft Excalibur 26
23507,Config216,Wellcraft Excalibur 26
23508,Config217,Yamaha 242
23509,Config217,Yamaha 242
23510,Config217,Yamaha 242
23511,Config218,Yamaha AR210 & 212X
23512,Config218,Yamaha AR210 & 212X
23513,Config218,Yamaha AR210 & 212X
23514,Config219,Yamaha LS 2000
23515,Config219,Yamaha LS 2000
23516,Config219,Yamaha LS 2000
23517,Config220,Yamaha SX230 - 2006 & Earlier
23518,Config220,Yamaha SX230 - 2006 & Earlier
23519,Config220,Yamaha SX230 - 2006 & Earlier
23520,Config26,"""Yamaha SX230, SR230, AR230 - 2007"""
23521,Config26,"""Yamaha SX230, SR230, AR230 - 2007"""
23522,Config26,"""Yamaha SX230, SR230, AR230 - 2007"""
