sku,price
22948,639.94
22949,255.95
22950,255.95
22951,319.94
22952,255.95
22953,255.95
22954,319.94
22955,511.95
22956,511.95
22957,639.94
22958,511.95
22959,511.95
22960,639.94
22961,255.95
22962,255.95
22963,319.94
22964,255.95
22965,255.95
22966,319.94
22967,511.95
22968,511.95
22969,639.94
22970,255.95
22971,255.95
22972,319.94
22973,255.95
22974,255.95
22975,319.94
22976,255.95
22977,255.95
22978,319.94
22979,255.95
22980,255.95
22981,319.94
22982,255.95
22983,255.95
22984,319.94
22985,511.95
22986,511.95
22987,639.94
22988,255.95
22989,255.95
22990,319.94
23000,159.95
23001,159.95
23002,199.94
23010,255.95
23011,255.95
23012,319.94
23013,159.95
23014,159.95
23015,199.94
23016,255.95
23017,255.95
23018,319.94
23020,639.95
23021,639.95
23022,799.94
23023,255.95
23024,255.95
23025,319.94
23026,511.95
23027,511.95
23028,639.94
23029,511.95
23030,511.95
23031,639.94
23032,1151.95
23033,1151.95
23034,1439.94
23035,767.00
23036,767.00
23037,958.75
23038,255.95
23039,255.95
23040,319.94
23041,511.95
23042,511.95
23043,639.94
23044,511.95
23045,511.95
23046,639.94
23047,255.95
23048,255.95
23049,319.94
23050,511.95
23051,511.95
23052,639.94
23053,255.95
23054,255.95
23055,319.94
23056,255.95
23057,255.95
23058,319.94
23059,767.95
23060,767.95
23061,959.94
23062,255.95
23063,255.95
23064,319.94
23066,255.95
23067,255.95
23068,319.94
23069,255.95
23070,255.95
23071,319.94
23072,511.95
23073,511.95
23074,639.94
23075,767.95
23076,767.95
23077,959.94
23126,255.95
23127,255.95
23128,319.94
23142,255.95
23143,319.94
23123,255.95
23124,255.95
23125,319.94
23087,255.95
23088,255.95
23089,319.94
23129,255.95
23130,255.95
23131,319.94
23138,255.95
23078,255.95
23079,255.95
23080,319.94
23081,255.95
23082,255.95
23083,319.94
23084,255.95
23085,255.95
23086,319.94
23090,255.95
23091,255.95
23092,319.94
22624,255.95
23097,255.95
23098,319.94
23099,255.95
23100,255.95
23101,319.94
23102,255.95
23103,255.95
23104,319.94
23105,255.95
23106,255.95
23107,319.94
23108,255.95
23109,255.95
23110,319.94
23111,255.95
23112,255.95
23113,319.94
23117,255.95
23118,255.95
23119,319.94
23147,255.95
23148,255.95
23149,319.94
23144,255.95
23145,255.95
23146,319.94
23132,255.95
23133,255.95
23134,319.94
23135,255.95
23136,255.95
23137,319.94
23154,255.95
23155,255.95
23156,319.94
23210,255.95
23211,255.95
23157,255.95
23158,255.95
23159,319.94
23160,255.95
23161,255.95
23162,319.94
23172,319.94
23173,255.95
23174,255.95
23175,319.94
23233,255.95
23234,255.95
23235,319.94
23176,255.95
23177,255.95
23178,319.94
23180,255.95
23219,255.95
23222,255.95
23223,319.94
23216,255.95
23217,255.95
23218,319.94
23224,255.95
23225,255.95
23226,319.94
23213,255.95
23214,255.95
23215,319.94
23207,255.95
23208,255.95
23209,319.94
23201,255.95
23202,255.95
23203,319.94
23190,255.95
23191,319.94
23192,255.95
23193,255.95
23194,319.94
23230,255.95
23231,255.95
23232,319.94
23195,255.95
23196,255.95
23197,319.94
23198,255.95
23199,255.95
23200,319.94
23227,255.95
23228,255.95
23229,319.94
23204,255.95
23205,255.95
23206,319.94
23236,255.95
23237,255.95
23238,319.94
23239,255.95
23240,255.95
23241,319.94
23242,255.95
23243,255.95
23244,319.94
23248,255.95
23149,255.95
23150,319.94
23251,255.95
23252,255.95
23253,319.94
23254,255.95
23255,255.95
23256,319.94
23266,255.95
23267,255.95
23268,319.94
23257,255.95
23258,255.95
23259,319.94
23263,255.95
23264,255.95
23265,319.94
23260,255.95
23261,255.95
23262,319.94
23269,255.95
23270,255.95
23271,319.94
23272,255.95
23273,255.95
23274,319.94
23275,255.95
23276,255.95
23277,319.94
23281,255.95
23282,255.95
23284,255.95
23285,255.95
23286,319.94
23287,255.95
23288,255.95
23289,319.94
23290,255.95
23291,255.95
23292,319.94
23293,255.95
23295,255.95
23296,319.94
23297,511.95
23298,511.95
23299,639.94
23300,511.95
23301,511.95
23302,639.94
23303,767.95
23304,767.95
23305,959.94
23306,511.95
23307,511.95
23308,639.94
23309,255.95
23310,255.95
23311,319.94
23312,255.95
23313,255.95
23314,319.94
23315,383.95
23316,383.95
23317,479.94
23318,511.95
23319,511.95
23320,639.94
23321,255.95
23322,255.95
23323,319.94
23324,255.95
23325,255.95
23326,319.94
23327,255.95
23328,255.95
23329,319.94
23330,502.95
23331,502.95
23332,628.69
23333,255.95
23334,255.95
23335,319.94
23336,255.95
23337,255.95
23338,319.94
23339,335.95
23341,335.95
23342,419.94
23343,383.95
23344,383.95
23345,479.94
23355,383.95
23356,383.95
23357,479.94
23346,511.95
23347,511.95
23348,639.94
23349,255.95
23350,255.95
23351,319.94
23352,511.95
23353,511.95
23354,639.94
23358,255.95
23359,255.95
23360,319.94
23364,383.95
23365,383.95
23366,479.94
23361,255.95
23362,255.95
23363,319.94
23367,255.95
23368,255.95
23369,319.94
23370,511.95
23371,511.95
23372,639.94
23373,511.95
23374,511.95
23376,511.95
23377,511.95
23378,639.94
23379,511.95
23380,511.95
23381,639.94
23382,511.95
23383,511.95
23384,639.94
23385,511.95
23386,511.95
23387,639.94
23388,511.95
23389,511.95
23390,639.94
23391,1023.95
23392,1023.95
23393,1279.94
23394,767.95
23395,767.95
23396,959.94
23397,383.95
23398,383.95
23399,479.94
23400,255.95
23401,255.95
23402,319.94
23403,255.95
23404,255.95
23405,319.94
23406,255.95
23407,255.95
23408,319.94
23409,255.95
23410,255.95
23411,319.94
23412,255.95
23413,255.95
23414,319.94
23415,255.95
23416,255.95
23417,319.94
23418,511.95
23419,511.95
23420,639.94
23421,639.95
23422,639.95
23423,799.94
23427,255.95
23428,255.95
23429,319.94
23430,255.95
23431,255.95
23432,319.94
23433,255.95
23434,255.95
23435,319.94
23436,255.95
23437,255.95
23438,319.94
23439,255.95
23443,255.95
23444,319.94
23445,255.95
23446,255.95
23447,319.94
23448,255.95
23449,255.95
23450,319.94
23451,255.95
23452,255.95
23453,319.94
23457,255.95
23458,255.95
23459,319.94
23460,255.95
23464,255.95
23465,319.94
23466,255.95
23467,255.95
23469,255.95
23470,255.95
23471,319.94
23472,255.95
23473,255.95
23474,319.94
23475,255.95
23476,255.95
23477,319.94
23487,255.95
23488,255.95
23489,319.94
23478,255.95
23479,255.95
23480,319.94
23481,255.95
23482,255.95
23483,319.94
23496,255.95
23497,255.95
23498,319.94
23490,255.95
23491,255.95
23492,319.94
23499,255.95
23500,255.95
23501,319.94
23502,255.95
23503,255.95
23504,319.94
23505,159.95
23506,159.95
23507,199.94
23508,255.95
23509,255.95
23510,319.94
23511,511.95
23512,511.95
23513,639.94
23514,255.95
23515,255.95
23516,319.94
23517,511.95
23518,511.95
23519,639.94
23520,255.95
23521,255.95
23522,319.94
